         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
           2	       react	           1	         -99	           0	           1	     11.2765	     6.95617	 -3.4919e-01	  5.0284e+00	  5.0845e+00	  1.1453e-01	  6.9926e-04	  9.3963e-02	  0.0000e+00	  4.4490e-03	  4.4490e-03	  0.0000e+00	  0.0000e+00	  1.0638e-02	  1.0638e-02	
           2	       react	           1	         -99	           0	           2	     11.2793	     6.95305	 -3.2179e-01	  5.0580e+00	  5.1145e+00	  1.1475e-01	  7.0338e-04	  9.4068e-02	  0.0000e+00	  4.4490e-03	  2.7354e-08	  0.0000e+00	  0.0000e+00	  1.1080e-02	  4.4227e-04	
           2	       react	           1	         -99	           0	           3	     11.2812	     6.95095	 -2.1600e-01	  5.0781e+00	  5.1347e+00	  1.1491e-01	  7.0617e-04	  9.4139e-02	  0.0000e+00	  4.4490e-03	  1.8293e-08	  0.0000e+00	  0.0000e+00	  1.1378e-02	  2.9766e-04	
           2	       react	           1	         -99	           0	           4	      11.282	     6.95002	 -9.4527e-02	  5.0869e+00	  5.1437e+00	  1.1497e-01	  7.0739e-04	  9.4170e-02	  0.0000e+00	  4.4491e-03	  7.9880e-09	  0.0000e+00	  0.0000e+00	  1.1508e-02	  1.3047e-04	
           2	       react	           1	         -99	           0	           5	     11.2847	     6.94698	 -3.0960e-01	  5.1161e+00	  5.1731e+00	  1.1519e-01	  7.1145e-04	  9.4271e-02	  0.0000e+00	  4.4491e-03	  2.6088e-08	  0.0000e+00	  0.0000e+00	  1.1936e-02	  4.2817e-04	
           2	       react	           1	         -99	           0	           6	     11.2876	     6.94369	 -3.3305e-01	  5.1478e+00	  5.2052e+00	  1.1543e-01	  7.1586e-04	  9.4379e-02	  0.0000e+00	  4.4491e-03	  2.7935e-08	  0.0000e+00	  0.0000e+00	  1.2399e-02	  4.6207e-04	
           2	       react	           1	         -99	           0	           7	     11.2906	     6.94039	 -3.2995e-01	  5.1796e+00	  5.2374e+00	  1.1567e-01	  7.2028e-04	  9.4486e-02	  0.0000e+00	  4.4491e-03	  2.7543e-08	  0.0000e+00	  0.0000e+00	  1.2858e-02	  4.5930e-04	
           2	       react	           1	         -99	           0	           8	     11.2935	     6.93711	 -3.2653e-01	  5.2115e+00	  5.2696e+00	  1.1590e-01	  7.2472e-04	  9.4592e-02	  0.0000e+00	  4.4492e-03	  2.7126e-08	  0.0000e+00	  0.0000e+00	  1.3314e-02	  4.5603e-04	
           2	       react	           1	         -99	           0	           9	     11.2953	     6.93508	 -2.0078e-01	  5.2313e+00	  5.2897e+00	  1.1605e-01	  7.2747e-04	  9.4657e-02	  0.0000e+00	  4.4492e-03	  1.6614e-08	  0.0000e+00	  0.0000e+00	  1.3595e-02	  2.8115e-04	
           2	       react	           1	         -99	           0	          10	     11.2971	      6.9331	 -1.9511e-01	  5.2507e+00	  5.3093e+00	  1.1619e-01	  7.3017e-04	  9.4720e-02	  0.0000e+00	  4.4492e-03	  1.6097e-08	  0.0000e+00	  0.0000e+00	  1.3869e-02	  2.7377e-04	
           2	       react	           1	         -99	           0	          11	     11.2999	     6.92986	 -3.1645e-01	  5.2824e+00	  5.3414e+00	  1.1642e-01	  7.3458e-04	  9.4821e-02	  0.0000e+00	  4.4492e-03	  2.6006e-08	  0.0000e+00	  0.0000e+00	  1.4314e-02	  4.4517e-04	
           2	       react	           1	         -99	           0	          12	     11.3014	     6.92827	 -1.5480e-01	  5.2981e+00	  5.3572e+00	  1.1654e-01	  7.3676e-04	  9.4871e-02	  0.0000e+00	  4.4492e-03	  1.2676e-08	  0.0000e+00	  0.0000e+00	  1.4532e-02	  2.1829e-04	
           2	       react	           1	         -99	           0	          13	     11.3042	     6.92507	 -3.0973e-01	  5.3297e+00	  5.3892e+00	  1.1677e-01	  7.4116e-04	  9.4971e-02	  0.0000e+00	  4.4493e-03	  2.5271e-08	  0.0000e+00	  0.0000e+00	  1.4970e-02	  4.3780e-04	
           2	       react	           1	         -99	           0	          14	     11.3061	     6.92292	 -2.0592e-01	  5.3510e+00	  5.4107e+00	  1.1692e-01	  7.4411e-04	  9.5036e-02	  0.0000e+00	  4.4493e-03	  1.6733e-08	  0.0000e+00	  0.0000e+00	  1.5262e-02	  2.9183e-04	
           2	       react	           1	         -99	           0	          15	     11.3068	     6.92212	 -7.6939e-02	  5.3589e+00	  5.4187e+00	  1.1698e-01	  7.4522e-04	  9.5061e-02	  0.0000e+00	  4.4493e-03	  6.2380e-09	  0.0000e+00	  0.0000e+00	  1.5371e-02	  1.0920e-04	
           2	       react	           1	         -99	           0	          16	     11.3091	     6.91964	 -2.3714e-01	  5.3837e+00	  5.4438e+00	  1.1715e-01	  7.4866e-04	  9.5137e-02	  0.0000e+00	  4.4493e-03	  1.9179e-08	  0.0000e+00	  0.0000e+00	  1.5708e-02	  3.3712e-04	
           2	       react	           1	         -99	           0	          17	     11.3113	     6.91713	 -2.3714e-01	  5.4087e+00	  5.4690e+00	  1.1733e-01	  7.5214e-04	  9.5212e-02	  0.0000e+00	  4.4493e-03	  1.9106e-08	  0.0000e+00	  0.0000e+00	  1.6046e-02	  3.3794e-04	
           2	       react	           1	         -99	           0	          18	     11.3135	     6.91462	 -2.3714e-01	  5.4339e+00	  5.4945e+00	  1.1751e-01	  7.5564e-04	  9.5287e-02	  0.0000e+00	  4.4493e-03	  1.9032e-08	  0.0000e+00	  0.0000e+00	  1.6385e-02	  3.3877e-04	
           2	       react	           1	         -99	           0	          19	     11.3158	     6.91209	 -2.3714e-01	  5.4593e+00	  5.5202e+00	  1.1769e-01	  7.5918e-04	  9.5362e-02	  0.0000e+00	  4.4494e-03	  1.8958e-08	  0.0000e+00	  0.0000e+00	  1.6725e-02	  3.3961e-04	
           2	       react	           1	         -99	           0	          20	      11.318	     6.90954	 -2.3714e-01	  5.4850e+00	  5.5462e+00	  1.1787e-01	  7.6275e-04	  9.5437e-02	  0.0000e+00	  4.4494e-03	  1.8884e-08	  0.0000e+00	  0.0000e+00	  1.7065e-02	  3.4045e-04	
           2	       react	           1	         -99	           0	          21	     11.3203	     6.90698	 -2.3714e-01	  5.5109e+00	  5.5724e+00	  1.1805e-01	  7.6636e-04	  9.5512e-02	  0.0000e+00	  4.4494e-03	  1.8808e-08	  0.0000e+00	  0.0000e+00	  1.7406e-02	  3.4130e-04	
           2	       react	           1	         -99	           0	          22	     11.3226	     6.90441	 -2.3714e-01	  5.5371e+00	  5.5989e+00	  1.1823e-01	  7.7000e-04	  9.5586e-02	  0.0000e+00	  4.4494e-03	  1.8733e-08	  0.0000e+00	  0.0000e+00	  1.7748e-02	  3.4214e-04	
           2	       react	           1	         -99	           0	          23	     11.3249	     6.90182	 -2.3714e-01	  5.5635e+00	  5.6256e+00	  1.1841e-01	  7.7367e-04	  9.5660e-02	  0.0000e+00	  4.4494e-03	  1.8657e-08	  0.0000e+00	  0.0000e+00	  1.8091e-02	  3.4300e-04	
           2	       react	           1	         -99	           0	          24	     11.3273	     6.89921	 -2.3714e-01	  5.5902e+00	  5.6526e+00	  1.1860e-01	  7.7738e-04	  9.5734e-02	  0.0000e+00	  4.4494e-03	  1.8580e-08	  0.0000e+00	  0.0000e+00	  1.8435e-02	  3.4386e-04	
           2	       react	           1	         -99	           0	          25	     11.3296	     6.89659	 -2.3714e-01	  5.6172e+00	  5.6798e+00	  1.1878e-01	  7.8113e-04	  9.5808e-02	  0.0000e+00	  4.4495e-03	  1.8503e-08	  0.0000e+00	  0.0000e+00	  1.8780e-02	  3.4472e-04	
           2	       react	           1	         -99	           0	          26	      11.332	     6.89395	 -2.3714e-01	  5.6444e+00	  5.7073e+00	  1.1896e-01	  7.8491e-04	  9.5881e-02	  0.0000e+00	  4.4495e-03	  1.8426e-08	  0.0000e+00	  0.0000e+00	  1.9126e-02	  3.4559e-04	
           2	       react	           1	         -99	           0	          27	     11.3343	     6.89129	 -2.3714e-01	  5.6718e+00	  5.7351e+00	  1.1915e-01	  7.8873e-04	  9.5954e-02	  0.0000e+00	  4.4495e-03	  1.8347e-08	  0.0000e+00	  0.0000e+00	  1.9472e-02	  3.4647e-04	
           2	       react	           1	         -99	           0	          28	     11.3367	     6.88862	 -2.3714e-01	  5.6996e+00	  5.7631e+00	  1.1934e-01	  7.9259e-04	  9.6027e-02	  0.0000e+00	  4.4495e-03	  1.8269e-08	  0.0000e+00	  0.0000e+00	  1.9819e-02	  3.4735e-04	
           2	       react	           1	         -99	           0	          29	     11.3391	     6.88593	 -2.3714e-01	  5.7276e+00	  5.7915e+00	  1.1952e-01	  7.9648e-04	  9.6099e-02	  0.0000e+00	  4.4495e-03	  1.8189e-08	  0.0000e+00	  0.0000e+00	  2.0168e-02	  3.4823e-04	
           2	       react	           1	         -99	           0	          30	     11.3415	     6.88322	 -2.3714e-01	  5.7558e+00	  5.8201e+00	  1.1971e-01	  8.0041e-04	  9.6171e-02	  0.0000e+00	  4.4496e-03	  1.8110e-08	  0.0000e+00	  0.0000e+00	  2.0517e-02	  3.4912e-04	
           2	       react	           1	         -99	           0	          31	      11.344	      6.8805	 -2.3714e-01	  5.7844e+00	  5.8489e+00	  1.1990e-01	  8.0439e-04	  9.6243e-02	  0.0000e+00	  4.4496e-03	  1.8029e-08	  0.0000e+00	  0.0000e+00	  2.0867e-02	  3.5001e-04	
           2	       react	           1	         -99	           0	          32	     11.3464	     6.87776	 -2.3714e-01	  5.8132e+00	  5.8781e+00	  1.2009e-01	  8.0840e-04	  9.6315e-02	  0.0000e+00	  4.4496e-03	  1.7948e-08	  0.0000e+00	  0.0000e+00	  2.1218e-02	  3.5091e-04	
           2	       react	           1	         -99	           0	          33	     11.3489	       6.875	 -2.3714e-01	  5.8424e+00	  5.9076e+00	  1.2028e-01	  8.1245e-04	  9.6386e-02	  0.0000e+00	  4.4496e-03	  1.7867e-08	  0.0000e+00	  0.0000e+00	  2.1569e-02	  3.5182e-04	
           2	       react	           1	         -99	           0	          34	     11.3514	     6.87222	 -2.3714e-01	  5.8718e+00	  5.9373e+00	  1.2047e-01	  8.1654e-04	  9.6457e-02	  0.0000e+00	  4.4496e-03	  1.7785e-08	  0.0000e+00	  0.0000e+00	  2.1922e-02	  3.5272e-04	
           2	       react	           1	         -99	           0	          35	     11.3538	     6.86943	 -2.3714e-01	  5.9015e+00	  5.9674e+00	  1.2066e-01	  8.2068e-04	  9.6527e-02	  0.0000e+00	  4.4496e-03	  1.7703e-08	  0.0000e+00	  0.0000e+00	  2.2276e-02	  3.5364e-04	
           2	       react	           1	         -99	           0	          36	     11.3564	     6.86662	 -2.3714e-01	  5.9316e+00	  5.9978e+00	  1.2086e-01	  8.2485e-04	  9.6597e-02	  0.0000e+00	  4.4497e-03	  1.7619e-08	  0.0000e+00	  0.0000e+00	  2.2630e-02	  3.5456e-04	
           2	       react	           1	         -99	           0	          37	     11.3589	     6.86379	 -2.3714e-01	  5.9619e+00	  6.0284e+00	  1.2105e-01	  8.2907e-04	  9.6667e-02	  0.0000e+00	  4.4497e-03	  1.7536e-08	  0.0000e+00	  0.0000e+00	  2.2986e-02	  3.5548e-04	
           2	       react	           1	         -99	           0	          38	     11.3614	     6.86094	 -2.3714e-01	  5.9926e+00	  6.0594e+00	  1.2124e-01	  8.3333e-04	  9.6737e-02	  0.0000e+00	  4.4497e-03	  1.7451e-08	  0.0000e+00	  0.0000e+00	  2.3342e-02	  3.5641e-04	
           2	       react	           1	         -99	           0	          39	      11.364	     6.85807	 -2.3714e-01	  6.0235e+00	  6.0907e+00	  1.2144e-01	  8.3764e-04	  9.6806e-02	  0.0000e+00	  4.4497e-03	  1.7367e-08	  0.0000e+00	  0.0000e+00	  2.3700e-02	  3.5735e-04	
           2	       react	           1	         -99	           0	          40	     11.3665	     6.85522	 -2.3714e-01	  6.0512e+00	  6.1187e+00	  1.2162e-01	  8.4199e-04	  9.6860e-02	  0.0000e+00	  4.4497e-03	  1.6066e-08	  3.0086e-03	  3.0086e-03	  2.4069e-02	  3.6987e-04	
