         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Cl	          Na	           S	           K	          Ca	          Mg	     Calcite	   d_Calcite	      Halite	    d_Halite	      Gypsum	    d_Gypsum	
           3	       react	           2	         -99	           0	           1	     11.3689	     6.85268	 -2.3714e-01	  6.0510e+00	  6.1190e+00	  1.2170e-01	  8.4639e-04	  9.6807e-02	  0.0000e+00	  6.7183e-09	  6.7183e-09	  2.6063e-02	  2.6063e-02	  4.5905e-04	  4.5905e-04	
           3	       react	           2	         -99	           0	           2	     11.3712	     6.85012	 -2.3714e-01	  6.0509e+00	  6.1192e+00	  1.2178e-01	  8.5084e-04	  9.6753e-02	  0.0000e+00	  1.3436e-08	  6.7179e-09	  5.2126e-02	  2.6063e-02	  9.1808e-04	  4.5902e-04	
           3	       react	           2	         -99	           0	           3	     11.3735	     6.84755	 -2.3714e-01	  6.0508e+00	  6.1194e+00	  1.2185e-01	  8.5533e-04	  9.6699e-02	  0.0000e+00	  2.0154e-08	  6.7175e-09	  7.8189e-02	  2.6063e-02	  1.3771e-03	  4.5899e-04	
           3	       react	           2	         -99	           0	           4	     11.3759	     6.84496	 -2.3714e-01	  6.0506e+00	  6.1196e+00	  1.2193e-01	  8.5987e-04	  9.6644e-02	  0.0000e+00	  2.6871e-08	  6.7171e-09	  1.0425e-01	  2.6063e-02	  1.8360e-03	  4.5896e-04	
           3	       react	           2	         -99	           0	           5	     11.3775	     6.84316	 -1.6469e-01	  6.0505e+00	  6.1198e+00	  1.2199e-01	  8.6306e-04	  9.6606e-02	  0.0000e+00	  3.1535e-08	  4.6646e-09	  1.2235e-01	  1.8100e-02	  2.1547e-03	  3.1871e-04	
           3	       react	           2	         -99	           0	           6	     11.3791	     6.84135	 -1.6469e-01	  6.0504e+00	  6.1199e+00	  1.2204e-01	  8.6626e-04	  9.6567e-02	  0.0000e+00	  3.6200e-08	  4.6644e-09	  1.4045e-01	  1.8100e-02	  2.4734e-03	  3.1870e-04	
           3	       react	           2	         -99	           0	           7	     11.3808	     6.83953	 -1.6469e-01	  6.0503e+00	  6.1201e+00	  1.2210e-01	  8.6949e-04	  9.6528e-02	  0.0000e+00	  4.0864e-08	  4.6642e-09	  1.5855e-01	  1.8100e-02	  2.7921e-03	  3.1868e-04	
           3	       react	           2	         -99	           0	           8	     11.3824	     6.83771	 -1.6469e-01	  6.0502e+00	  6.1203e+00	  1.2216e-01	  8.7275e-04	  9.6489e-02	  0.0000e+00	  4.5528e-08	  4.6640e-09	  1.7665e-01	  1.8100e-02	  3.1108e-03	  3.1866e-04	
           3	       react	           2	         -99	           0	           9	     11.3841	     6.83588	 -1.6469e-01	  6.0501e+00	  6.1204e+00	  1.2221e-01	  8.7602e-04	  9.6450e-02	  0.0000e+00	  5.0192e-08	  4.6638e-09	  1.9475e-01	  1.8100e-02	  3.4294e-03	  3.1865e-04	
           3	       react	           2	         -99	           0	          10	     11.3858	     6.83404	 -1.6469e-01	  6.0500e+00	  6.1206e+00	  1.2227e-01	  8.7933e-04	  9.6410e-02	  0.0000e+00	  5.4855e-08	  4.6636e-09	  2.1285e-01	  1.8100e-02	  3.7481e-03	  3.1863e-04	
           3	       react	           2	         -99	           0	          11	     11.3874	      6.8322	 -1.6469e-01	  6.0499e+00	  6.1208e+00	  1.2233e-01	  8.8266e-04	  9.6370e-02	  0.0000e+00	  5.9519e-08	  4.6634e-09	  2.3095e-01	  1.8100e-02	  4.0667e-03	  3.1861e-04	
