Stations;Initials;Latitud - graus;Latitud - minuts;Latitud - segons;Longitud - graus;Longitud - minuts;Longitud - segons;Latitud;Longitud;Link
Arenys de Mar;AdM;41;35;15;2;32;24;41,5875;2,54;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0252D&w=0&datos=det&x=&f=temperatura
Balsareny;Bal;41;51;59;1;52;21;41,8664;1,8725;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0106X&w=0&datos=det&x=&f=temperatura
Barcelona;BCN;41;23;26;2;12;0;41,3906;2,2;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0201D&w=0&datos=det&x=&f=temperatura
Barcelona, Museo Marítimo;BCNMM;41;22;30;2;10;26;41,375;2,1739;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0201X&w=0&datos=det&x=&f=temperatura
Barcelona Aeropuerto;BCNA;41;17;34;2;4;12;41,2928;2,07;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0076&w=0&datos=det&x=&f=temperatura
Berga;Ver;42;6;5;1;51;27;42,1014;1,8575;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0092X&w=0&datos=det&x=&f=temperatura
Caldes de Montbui;CdM;41;36;46;2;10;6;41,6128;2,1683;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0222X&w=0&datos=det&x=&f=temperatura
Corbera, Pic d'Agulles;CPA;41;24;29;1;53;6;41,4081;1,885;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0194D&w=0&datos=det&x=&f=temperatura
Fogars de Montclús;FdM;41;45;36;2;25;52;41,76;2,4311;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0260X&w=0&datos=det&x=&f=temperatura
Igualada;Igl;41;34;44;1;37;4;41,5789;1,6178;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0171X&w=0&datos=det&x=&f=temperatura
Manresa;Mnr;41;43;12;1;50;25;41,72;1,8403;https://www.aemet.es/es/eltiempo/observacion/ultimosdatos?k=cat&l=0149X&w=0&datos=det&x=&f=temperatura
