Referència;Longitud;Latitud
1;41.32897729;2.10591747
2;41.32897844;2.105916588
3;41.32897959;2.105915706
4;41.32898074;2.105914824
5;41.32898189;2.105913942
6;41.32898304;2.10591306
7;41.32898419;2.105912179
8;41.32898534;2.105911297
9;41.32898649;2.105910415
10;41.32898764;2.105909533
11;41.32898879;2.105908651
12;41.32898994;2.10590777
13;41.32899109;2.105906888
14;41.32899224;2.105906006
15;41.32899339;2.105905124
16;41.32899454;2.105904242
17;41.32899569;2.10590336
18;41.32899684;2.105902479
19;41.32899799;2.105901597
20;41.32899914;2.105900715
21;41.32900029;2.105899833
22;41.32900144;2.105898951
23;41.32900259;2.10589807
24;41.32900374;2.105897188
25;41.32900489;2.105896306
26;41.32900604;2.105895424
27;41.32900719;2.105894542
28;41.32900834;2.10589366
29;41.32900949;2.105892779
30;41.32901179;2.105891015
31;41.32897729;2.10591747
32;41.32897844;2.105916588
33;41.32897959;2.105915706
34;41.32898074;2.105914824
35;41.32898189;2.105913942
36;41.32898304;2.10591306
37;41.32898419;2.105912179
38;41.32898534;2.105911297
39;41.32898649;2.105910415
40;41.32898764;2.105909533
41;41.32898879;2.105908651
42;41.32898994;2.10590777
43;41.32899109;2.105906888
44;41.32899224;2.105906006
45;41.32899339;2.105905124
46;41.32899454;2.105904242
47;41.32899569;2.10590336
48;41.32899684;2.105902479
49;41.32899799;2.105901597
50;41.32899914;2.105900715
51;41.32900029;2.105899833
52;41.32900144;2.105898951
53;41.32900259;2.10589807
54;41.32900374;2.105897188
55;41.32900489;2.105896306
56;41.32900604;2.105895424
57;41.32900719;2.105894542
58;41.32900834;2.10589366
59;41.32900949;2.105892779
60;41.32901179;2.105891015
61;41.32897729;2.10591747
62;41.32897844;2.105916588
63;41.32897959;2.105915706
64;41.32898074;2.105914824
65;41.32898189;2.105913942
66;41.32898304;2.10591306
67;41.32898419;2.105912179
68;41.32898534;2.105911297
69;41.32898649;2.105910415
70;41.32898764;2.105909533
71;41.32898879;2.105908651
72;41.32898994;2.10590777
73;41.32899109;2.105906888
74;41.32899224;2.105906006
75;41.32899339;2.105905124
76;41.32899454;2.105904242
77;41.32899569;2.10590336
78;41.32899684;2.105902479
79;41.32899799;2.105901597
80;41.32899914;2.105900715
81;41.32900029;2.105899833
82;41.32900144;2.105898951
83;41.32900259;2.10589807
84;41.32900374;2.105897188
85;41.32900489;2.105896306
86;41.32900604;2.105895424
87;41.32900719;2.105894542
88;41.32900834;2.10589366
89;41.32900949;2.105892779
90;41.32901179;2.105891015
